Country;Total Deaths;Total Recovered;Total Tests;Population;Ladder score;Standard error of ladder score;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;Ladder score in Dystopia;Explained by: Log GDP per capita;Explained by: Social support;Explained by: Healthy life expectancy;Explained by: Freedom to make life choices;Explained by: Generosity;Explained by: Perceptions of corruption;Dystopia + residual
Denmark;3,307;637,121;108,234,124;5,822,908;7,62;0,035;10,933;0,954;72,7;0,946;0,03;0,179;2,43;1,502;1,108;0,763;0,686;0,208;0,485;2,868
Dominican Republic;4,251;409,559;2,591,285;11,011,603;5,545;0,071;9,802;0,853;66,102;0,86;-0,133;0,714;2,43;1,106;0,879;0,555;0,581;0,101;0,144;2,178
Ecuador;33,686;443,88;2,171,252;18,046,016;5,764;0,057;9,313;0,821;68,8;0,842;-0,124;0,843;2,43;0,935;0,806;0,64;0,56;0,107;0,062;2,653
Egypt;21,817;322,18;3,693,367;105,236,507;4,283;0,045;9,367;0,75;61,998;0,749;-0,182;0,795;2,43;0,954;0,647;0,426;0,446;0,069;0,092;1,648
El Salvador;3,826;113,511;1,530,272;6,535,469;6,061;0,065;9,054;0,762;66,402;0,888;-0,11;0,688;2,43;0,845;0,675;0,565;0,615;0,116;0,16;3,085
Estonia;1,94;225,589;2,548,253;1,327,878;6,189;0,038;10,481;0,941;68,8;0,909;-0,106;0,527;2,43;1,344;1,079;0,64;0,641;0,119;0,263;2,103
Ethiopia;6,969;356,997;4,137,783;119,242,789;4,275;0,051;7,694;0,764;59;0,752;0,082;0,761;2,43;0,37;0,679;0,331;0,451;0,241;0,114;2,089
Finland;1,599;46;8,745,480;5,553,678;7,842;0,032;10,775;0,954;72;0,949;-0,098;0,186;2,43;1,446;1,106;0,741;0,691;0,124;0,481;3,253
France;124,212;8,209,921;188,795,159;65,490,955;6,69;0,037;10,704;0,942;74;0,822;-0,147;0,571;2,43;1,421;1,081;0,804;0,536;0,092;0,235;2,521
Gabon;290;37,932;1,493,255;2,304,663;4,852;0,075;9,603;0,776;59,962;0,731;-0,2;0,84;2,43;1,037;0,707;0,362;0,424;0,058;0,064;2,201
Gambia;343;9,7;132,861;2,518,658;5,051;0,089;7,686;0,69;55,16;0,697;0,424;0,746;2,43;0,367;0,511;0,21;0,384;0,465;0,123;2,99
Georgia;14,009;904,903;13,013,392;3,977,637;4,891;0,054;9,585;0,671;64,3;0,783;-0,238;0,655;2,43;1,03;0,47;0,498;0,488;0,032;0,181;2,191
Germany;113,191;6,531,900;89,622,218;84,187,242;7,155;0,04;10,873;0,903;72,5;0,875;0,011;0,46;2,43;1,48;0,993;0,757;0,6;0,195;0,306;2,824
Ghana;1,309;132,869;2,138,224;32,047,994;5,088;0,067;8,58;0,727;57,586;0,807;0,123;0,848;2,43;0,68;0,595;0,287;0,517;0,268;0,058;2,684
Greece;20,99;1,023,452;47,975,626;10,346,388;5,723;0,046;10,279;0,823;72,6;0,582;-0,288;0,823;2,43;1,273;0,811;0,76;0,243;0;0,074;2,561
Guatemala;16,11;608,748;3,283,166;18,413,884;6,435;0,073;9,053;0,813;64,958;0,906;-0,038;0,775;2,43;0,845;0,79;0,519;0,638;0,163;0,105;3,375
Guinea;391;29,922;572,612;13,667,967;4,984;0,09;7,838;0,639;55,008;0,697;0,095;0,766;2,43;0,42;0,399;0,206;0,384;0,25;0,111;3,216
Haiti;766;23,353;132,422;11,611,658;3,615;0,173;7,477;0,54;55,7;0,593;0,422;0,721;2,43;0,294;0,173;0,227;0,257;0,463;0,139;2,06
Honduras;10,434;124,171;1,139,978;10,141,533;5,919;0,082;8,648;0,812;67,3;0,857;0,081;0,809;2,43;0,703;0,787;0,593;0,578;0,241;0,083;2,934
Hong Kong;213;12,214;30,074,074;7,588,517;5,477;0,049;11;0,836;76,82;0,717;0,067;0,403;2,43;1,525;0,841;0,893;0,408;0,232;0,342;1,236
Hungary;39,517;1,124,945;9,211,426;9,623,416;5,992;0,047;10,358;0,943;68;0,755;-0,186;0,876;2,43;1,301;1,083;0,615;0,454;0,067;0,04;2,432
Iceland;38;23,861;1,401,240;344,576;7,554;0,059;10,878;0,983;73;0,955;0,16;0,673;2,43;1,482;1,172;0,772;0,698;0,293;0,17;2,967
