Country;Continent;Total Deaths;Total Cases;Total Tests;Population;Ladder score;Standard error of ladder score;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;;
Hungary;Europe;39517;1124945;9211426;9623416;5,992;0,047;10,358;0,943;68,000;0,755;-0,186;0,876;;
Iceland;Europe;38;23861;1401240;344576;7,554;0,059;10,878;0,983;73,000;0,955;0,160;0,673;;
India;Asia;482017;34306414;682428595;1400420753;3,819;0,026;8,755;0,603;60,633;0,893;0,089;0,774;;
Indonesia;Asia;144105;4114969;64158227;277875710;5,345;0,056;9,365;0,811;62,236;0,873;0,542;0,867;;
Iran;Asia;131736;6044247;42281617;85610313;4,721;0,055;9,584;0,710;66,300;0,608;0,218;0,714;;
Iraq;Asia;24182;2066049;16865438;41579139;4,854;0,059;9,240;0,746;60,583;0,630;-0,053;0,875;;
Ireland;Europe;5912;583182;9975030;5020776;7,085;0,040;11,342;0,947;72,400;0,879;0,077;0,363;;
Israel;Asia;8247;1354849;39492099;9326000;7,157;0,034;10,575;0,939;73,503;0,800;0,031;0,753;;
Italy;Europe;137786;5133272;141992517;60327961;6,483;0,045;10,623;0,880;73,800;0,693;-0,084;0,866;;
Ivory Coast;Africa;720;62517;1240423;27359845;5,306;0,078;8,551;0,644;50,114;0,741;-0,016;0,794;;
Jamaica;North America;2477;65937;71242;2980623;6,309;0,156;9,186;0,877;67,500;0,890;-0,137;0,884;;
Japan;Asia;18396;1712736;29405470;125893458;5,940;0,040;10,611;0,884;75,100;0,796;-0,258;0,638;;
Jordan;Asia;12742;1027501;13637305;10355554;4,395;0,062;9,182;0,767;67,000;0,755;-0,167;0,705;;
Kazakhstan;Asia;13025;961806;11575012;19114618;6,152;0,047;10,155;0,952;65,200;0,853;-0,069;0,733;;
Kenya;Africa;5401;258533;3056954;55551636;4,607;0,072;8,361;0,688;60,704;0,779;0,287;0,825;;
Kuwait;Asia;2468;412073;6025332;4365570;6,106;0,066;10,817;0,843;66,900;0,867;-0,104;0,736;;
Kyrgyzstan;Asia;2805;179947;1907195;6686076;5,744;0,046;8,538;0,893;64,401;0,935;0,119;0,908;;
Laos;Asia;403;7339;92336;7434366;5,030;0,045;8,947;0,728;58,968;0,910;0,123;0,658;;
Latvia;Europe;46;263011;5630139;1854791;6,032;0,036;10,315;0,927;67,100;0,715;-0,162;0,800;;
Lebanon;Asia;9174;659448;4795578;6779419;4,584;0,055;9,626;0,848;67,355;0,525;-0,073;0,898;;
Lesotho;Africa;673;16313;346608;2167807;3,512;0,120;7,926;0,787;48,700;0,715;-0,131;0,915;;
Liberia;Africa;287;5535;139824;5236337;4,625;0,106;7,288;0,720;56,498;0,735;0,050;0,850;;
Libya;Africa;574;378046;2047489;7011851;5,410;0,076;9,622;0,827;62,300;0,771;-0,087;0,667;;
Lithuania;Europe;7462;491641;6652931;2665080;6,255;0,045;10,499;0,935;67,906;0,773;-0,203;0,826;;
Luxembourg;Europe;917;95994;3824957;641294;7,324;0,037;11,647;0,908;72,600;0,907;-0,034;0,386;;
