Country;Total Deaths;Total Cases;Total Tests;Population;Ladder score;Standard error of ladder score;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;Ladder score in Dystopia;Explained by: Log GDP per capita;Explained by: Social support;Explained by: Healthy life expectancy;Explained by: Freedom to make life choices;Explained by: Generosity;Explained by: Perceptions of corruption;Dystopia + residual;;
Dominican Republic;4251;409559;2591285;11011603;5,545;0,071;9,802;0,853;66,102;0,860;-0,133;0,714;2,430;1,106;0,879;0,555;0,581;0,101;0,144;2,178;;
Ecuador;33686;44388;2171252;18046016;5,764;0,057;9,313;0,821;68,800;0,842;-0,124;0,843;2,430;0,935;0,806;0,640;0,560;0,107;0,062;2,653;;
Egypt;21817;32218;3693367;105236507;4,283;0,045;9,367;0,750;61,998;0,749;-0,182;0,795;2,430;0,954;0,647;0,426;0,446;0,069;0,092;1,648;;
El Salvador;3826;113511;1530272;6535469;6,061;0,065;9,054;0,762;66,402;0,888;-0,110;0,688;2,430;0,845;0,675;0,565;0,615;0,116;0,160;3,085;;
Estonia;194;225589;2548253;1327878;6,189;0,038;10,481;0,941;68,800;0,909;-0,106;0,527;2,430;1,344;1,079;0,640;0,641;0,119;0,263;2,103;;
Ethiopia;6969;356997;4137783;119242789;4,275;0,051;7,694;0,764;59,000;0,752;0,082;0,761;2,430;0,370;0,679;0,331;0,451;0,241;0,114;2,089;;
Finland;1599;46;8745480;5553678;7,842;0,032;10,775;0,954;72,000;0,949;-0,098;0,186;2,430;1,446;1,106;0,741;0,691;0,124;0,481;3,253;;
France;124212;8209921;188795159;65490955;6,690;0,037;10,704;0,942;74,000;0,822;-0,147;0,571;2,430;1,421;1,081;0,804;0,536;0,092;0,235;2,521;;
Gabon;290;37932;1493255;2304663;4,852;0,075;9,603;0,776;59,962;0,731;-0,200;0,840;2,430;1,037;0,707;0,362;0,424;0,058;0,064;2,201;;
Gambia;343;97;132861;2518658;5,051;0,089;7,686;0,690;55,160;0,697;0,424;0,746;2,430;0,367;0,511;0,210;0,384;0,465;0,123;2,990;;
Georgia;14009;904903;13013392;3977637;4,891;0,054;9,585;0,671;64,300;0,783;-0,238;0,655;2,430;1,030;0,470;0,498;0,488;0,032;0,181;2,191;;
Germany;113191;6531900;89622218;84187242;7,155;0,040;10,873;0,903;72,500;0,875;0,011;0,460;2,430;1,480;0,993;0,757;0,600;0,195;0,306;2,824;;
Ghana;1309;132869;2138224;32047994;5,088;0,067;8,580;0,727;57,586;0,807;0,123;0,848;2,430;0,680;0,595;0,287;0,517;0,268;0,058;2,684;;
Greece;2099;1023452;47975626;10346388;5,723;0,046;10,279;0,823;72,600;0,582;-0,288;0,823;2,430;1,273;0,811;0,760;0,243;0,000;0,074;2,561;;
Guatemala;1611;608748;3283166;18413884;6,435;0,073;9,053;0,813;64,958;0,906;-0,038;0,775;2,430;0,845;0,790;0,519;0,638;0,163;0,105;3,375;;
Guinea;391;29922;572612;13667967;4,984;0,090;7,838;0,639;55,008;0,697;0,095;0,766;2,430;0,420;0,399;0,206;0,384;0,250;0,111;3,216;;
Haiti;766;23353;132422;11611658;3,615;0,173;7,477;0,540;55,700;0,593;0,422;0,721;2,430;0,294;0,173;0,227;0,257;0,463;0,139;2,060;;
Honduras;10434;124171;1139978;10141533;5,919;0,082;8,648;0,812;67,300;0,857;0,081;0,809;2,430;0,703;0,787;0,593;0,578;0,241;0,083;2,934;;
Hong Kong;213;12214;30074074;7588517;5,477;0,049;11,000;0,836;76,820;0,717;0,067;0,403;2,430;1,525;0,841;0,893;0,408;0,232;0,342;1,236;;
Hungary;39517;1124945;9211426;9623416;5,992;0,047;10,358;0,943;68,000;0,755;-0,186;0,876;2,430;1,301;1,083;0,615;0,454;0,067;0,040;2,432;;
Iceland;38;23861;1401240;344576;7,554;0,059;10,878;0,983;73,000;0,955;0,160;0,673;2,430;1,482;1,172;0,772;0,698;0,293;0,170;2,967;;
India;482017;34306414;682428595;1400420753;3,819;0,026;8,755;0,603;60,633;0,893;0,089;0,774;2,430;0,741;0,316;0,383;0,622;0,246;0,106;1,405;;
Indonesia;144105;4114969;64158227;277875710;5,345;0,056;9,365;0,811;62,236;0,873;0,542;0,867;2,430;0,954;0,786;0,433;0,598;0,541;0,046;1,987;;
Iran;131736;6044247;42281617;85610313;4,721;0,055;9,584;0,710;66,300;0,608;0,218;0,714;2,430;1,030;0,557;0,561;0,275;0,330;0,144;1,823;;
Iraq;24182;2066049;16865438;41579139;4,854;0,059;9,240;0,746;60,583;0,630;-0,053;0,875;2,430;0,910;0,638;0,381;0,302;0,153;0,041;2,429;;
Ireland;5912;583182;9975030;5020776;7,085;0,040;11,342;0,947;72,400;0,879;0,077;0,363;2,430;1,644;1,092;0,753;0,606;0,238;0,367;2,384;;
Israel;8247;1354849;39492099;9326000;7,157;0,034;10,575;0,939;73,503;0,800;0,031;0,753;2,430;1,376;1,074;0,788;0,509;0,208;0,119;3,083;;
Italy;137786;5133272;141992517;60327961;6,483;0,045;10,623;0,880;73,800;0,693;-0,084;0,866;2,430;1,393;0,940;0,798;0,379;0,133;0,047;2,794;;
Ivory Coast;720;62517;1240423;27359845;5,306;0,078;8,551;0,644;50,114;0,741;-0,016;0,794;2,430;0,669;0,409;0,052;0,438;0,177;0,092;3,469;;
Jamaica;2477;65937;71242;2980623;6,309;0,156;9,186;0,877;67,500;0,890;-0,137;0,884;2,430;0,891;0,932;0,599;0,618;0,099;0,035;3,135;;
Japan;18396;1712736;29405470;125893458;5,940;0,040;10,611;0,884;75,100;0,796;-0,258;0,638;2,430;1,389;0,949;0,838;0,504;0,020;0,192;2,048;;
Jordan;12742;1027501;13637305;10355554;4,395;0,062;9,182;0,767;67,000;0,755;-0,167;0,705;2,430;0,890;0,685;0,583;0,455;0,079;0,150;1,553;;
Kazakhstan;13025;961806;11575012;19114618;6,152;0,047;10,155;0,952;65,200;0,853;-0,069;0,733;2,430;1,230;1,103;0,527;0,573;0,143;0,132;2,446;;
Kenya;5401;258533;3056954;55551636;4,607;0,072;8,361;0,688;60,704;0,779;0,287;0,825;2,430;0,603;0,508;0,385;0,483;0,375;0,073;2,180;;
Kuwait;2468;412073;6025332;4365570;6,106;0,066;10,817;0,843;66,900;0,867;-0,104;0,736;2,430;1,461;0,857;0,580;0,591;0,120;0,130;2,368;;
Kyrgyzstan;2805;179947;1907195;6686076;5,744;0,046;8,538;0,893;64,401;0,935;0,119;0,908;2,430;0,665;0,971;0,501;0,673;0,266;0,020;2,648;;
Laos;403;7339;92336;7434366;5,030;0,045;8,947;0,728;58,968;0,910;0,123;0,658;2,430;0,808;0,598;0,330;0,643;0,268;0,179;2,204;;
Latvia;46;263011;5630139;1854791;6,032;0,036;10,315;0,927;67,100;0,715;-0,162;0,800;2,430;1,285;1,047;0,587;0,405;0,082;0,089;2,536;;
Lebanon;9174;659448;4795578;6779419;4,584;0,055;9,626;0,848;67,355;0,525;-0,073;0,898;2,430;1,045;0,868;0,595;0,175;0,140;0,026;1,736;;
Lesotho;673;16313;346608;2167807;3,512;0,120;7,926;0,787;48,700;0,715;-0,131;0,915;2,430;0,451;0,731;0,007;0,405;0,103;0,015;1,800;;
Liberia;287;5535;139824;5236337;4,625;0,106;7,288;0,720;56,498;0,735;0,050;0,850;2,430;0,228;0,580;0,253;0,430;0,221;0,057;2,857;;
Libya;574;378046;2047489;7011851;5,410;0,076;9,622;0,827;62,300;0,771;-0,087;0,667;2,430;1,044;0,821;0,435;0,474;0,131;0,174;2,331;;
Lithuania;7462;491641;6652931;2665080;6,255;0,045;10,499;0,935;67,906;0,773;-0,203;0,826;2,430;1,350;1,065;0,612;0,476;0,056;0,073;2,624;;
Luxembourg;917;95994;3824957;641294;7,324;0,037;11,647;0,908;72,600;0,907;-0,034;0,386;2,430;1,751;1,003;0,760;0,639;0,166;0,353;2,653;;
Madagascar;1027;44708;320884;28760662;4,208;0,072;7,396;0,686;59,305;0,552;-0,005;0,803;2,430;0,266;0,503;0,341;0,207;0,185;0,087;2,620;;
Malawi;2378;60699;4900950;19872698;3,600;0,092;6,958;0,537;57,948;0,780;0,038;0,729;2,430;0,113;0,168;0,298;0,484;0,213;0,134;2,190;;
Malaysia;3156;2695751;41440452;32989862;5,384;0,049;10,238;0,817;67,102;0,895;0,125;0,839;2,430;1,259;0,797;0,587;0,624;0,270;0,064;1,784;;
Maldives;262;9341;1887635;55486;5,198;0,072;9,826;0,913;70,600;0,854;0,024;0,825;2,430;1,115;1,015;0,697;0,575;0,204;0,073;1,520;;
Mali;668;18925;542137;21126990;4,723;0,082;7,744;0,724;51,969;0,697;-0,036;0,827;2,430;0,387;0,590;0,110;0,384;0,164;0,072;3,016;;
