"Country","Continent","Total Deaths","Total Cases","Total Tests","Population","Ladder score","Standard error of ladder score","Logged GDP per capita","Social support","Healthy life expectancy","Freedom to make life choices","Generosity","Perceptions of corruption"
"Taiwan","Asia","850","15909","9342349","23881673","6.58","0.04","10.87","0.90","70","0.78","-0.07","0.72"
"Tajikistan","Asia","124","16966","","9859632","5.47","0.03","8.09","0.86","64","0.83","-0.06","0.55"
"Thailand","Asia","2175","2180321","17270775","70063653","5.99","0.05","9.80","0.89","67","0.88","0.29","0.90"
"Togo","Africa","251","26219","621097","8570332","4.11","0.08","7.36","0.57","55","0.62","0.03","0.77"
"Tunisia","Africa","25588","696893","3396130","12004701","4.60","0.06","9.27","0.69","67","0.66","-0.20","0.87"
"Turkey","Asia","82795","9136290","119794419","85704606","4.95","0.05","10.24","0.82","67","0.58","-0.14","0.78"
"Uganda","Africa","3306","98497","2166777","47910290","4.64","0.07","7.68","0.78","56","0.71","0.12","0.85"
"Ukraine","Europe","96436","3483354","16835647","43338099","4.88","0.05","9.44","0.89","65","0.72","-0.01","0.92"
"United Arab Emirates","Asia","217","748511","113013841","10070188","6.56","0.04","11.09","0.84","67","0.93","0.07","0.59"
"United Kingdom","Europe","148893","10460659","404382130","68422788","7.06","0.04","10.71","0.93","72","0.86","0.23","0.46"
"United States","North America","848885","41722468","817668437","333924197","6.95","0.05","11.02","0.92","68","0.84","0.10","0.70"
"Uruguay","South America","6177","400381","4446124","3491853","6.43","0.05","9.97","0.93","69","0.90","-0.09","0.59"
"Uzbekistan","Asia","1485","196539","1377915","34198831","6.18","0.07","8.84","0.92","65","0.97","0.31","0.52"
"Venezuela","South America","5335","435097","3359014","28314621","4.89","0.06","9.07","0.86","67","0.61","-0.17","0.83"
"Vietnam","Asia","33021","1397157","75170635","98656568","5.41","0.04","8.97","0.85","68","0.94","-0.10","0.80"
"Yemen","Asia","1984","7039","265253","30813353","3.66","0.07","7.58","0.83","57","0.60","-0.15","0.80"
"Zambia","Africa","3762","230494","2996026","19157388","4.07","0.07","8.14","0.71","56","0.78","0.06","0.82"
"Zimbabwe","Africa","5047","185594","1857129","15188375","3.15","0.06","7.94","0.75","56","0.68","-0.05","0.82"
